Richmond,Carlton,MCG,58 - 58
Geelong Cats,Collingwood,MCG,103 - 125
North Melbourne,West Coast Eagles,Marvel Stadium,87 - 82
Port Adelaide,Brisbane Lions,Adelaide Oval,126 - 72
Melbourne,Western Bulldogs,MCG,115 - 65
Gold Coast Suns,Sydney Swans,Heritage Bank Stadium,61 - 110
GWS Giants,Adelaide Crows,GIANTS Stadium,106 - 90
Hawthorn,Essendon,MCG,65 - 124
St Kilda,Fremantle,Marvel Stadium,67 - 52
Carlton,Geelong Cats,MCG,90 - 82
Brisbane Lions,Melbourne,Gabba,93 - 82
Collingwood,Port Adelaide,MCG,135 - 64
Adelaide Crows,Richmond,Adelaide Oval,76 - 108
Western Bulldogs,St Kilda,Marvel Stadium,41 - 92
Fremantle,North Melbourne,Optus Stadium,72 - 73
Sydney Swans,Hawthorn,SCG,118 - 37
Essendon,Gold Coast Suns,Marvel Stadium,108 - 80
West Coast Eagles,GWS Giants,Optus Stadium,100 - 81
Western Bulldogs,Brisbane Lions,Marvel Stadium,67 - 53
Collingwood,Richmond,MCG,63 - 49
Hawthorn,North Melbourne,University of Tasmania Stadium,80 - 61
GWS Giants,Carlton,GIANTS Stadium,64 - 74
St Kilda,Essendon,MCG,92 - 74
Port Adelaide,Adelaide Crows,Adelaide Oval,86 - 117
Gold Coast Suns,Geelong Cats,Heritage Bank Stadium,73 - 54
Melbourne,Sydney Swans,MCG,135 - 84
Fremantle,West Coast Eagles,Optus Stadium,108 - 67
Brisbane Lions,Collingwood,Gabba,116 - 83
North Melbourne,Carlton,Marvel Stadium,84 - 107
Adelaide Crows,Fremantle,Adelaide Oval,111 - 72
Richmond,Western Bulldogs,MCG,84 - 89
St Kilda,Gold Coast Suns,Marvel Stadium,113 - 60
Sydney Swans,Port Adelaide,SCG,64 - 66
Essendon,GWS Giants,Marvel Stadium,88 - 75
West Coast Eagles,Melbourne,Optus Stadium,63 - 126
Geelong Cats,Hawthorn,MCG,127 - 45
Adelaide Crows,Carlton,Adelaide Oval,118 - 62
Fremantle,Gold Coast Suns,Norwood Oval,100 - 90
Richmond,Sydney Swans,Adelaide Oval,78 - 122
Brisbane Lions,North Melbourne,Adelaide Hills,152 - 77
Essendon,Melbourne,Adelaide Oval,104 - 77
Port Adelaide,Western Bulldogs,Adelaide Oval,70 - 56
Geelong Cats,West Coast Eagles,Adelaide Oval,136 - 89
GWS Giants,Hawthorn,Norwood Oval,77 - 75
Collingwood,St Kilda,Adelaide Oval,70 - 64
Fremantle,Western Bulldogs,Optus Stadium,69 - 118
Port Adelaide,West Coast Eagles,Adelaide Oval,109 - 69
GWS Giants,Brisbane Lions,Manuka Oval,87 - 108
Geelong Cats,Sydney Swans,GMHBA Stadium,130 - 37
Hawthorn,Adelaide Crows,University of Tasmania Stadium,76 - 79
Carlton,St Kilda,Marvel Stadium,60 - 82
Gold Coast Suns,North Melbourne,Heritage Bank Stadium,97 - 54
Melbourne,Richmond,MCG,96 - 78
Collingwood,Essendon,MCG,90 - 77
St Kilda,Port Adelaide,Marvel Stadium,76 - 83
Brisbane Lions,Fremantle,Gabba,115 - 67
Sydney Swans,GWS Giants,SCG,106 - 107
Western Bulldogs,Hawthorn,Marvel Stadium,94 - 65
Melbourne,North Melbourne,MCG,139 - 49
West Coast Eagles,Carlton,Optus Stadium,44 - 153
Essendon,Geelong Cats,MCG,104 - 132
Richmond,Gold Coast Suns,Marvel Stadium,48 - 72
Adelaide Crows,Collingwood,Adelaide Oval,58 - 59
Carlton,Brisbane Lions,Marvel Stadium,74 - 100
Richmond,West Coast Eagles,MCG,104 - 58
Geelong Cats,Adelaide Crows,GMHBA Stadium,98 - 72
Gold Coast Suns,Melbourne,Heritage Bank Stadium,85 - 90
GWS Giants,Western Bulldogs,Manuka Oval,71 - 86
Fremantle,Hawthorn,Optus Stadium,117 - 48
Port Adelaide,Essendon,Adelaide Oval,92 - 87
Collingwood,Sydney Swans,MCG,77 - 48
North Melbourne,St Kilda,Marvel Stadium,34 - 64
Richmond,Geelong Cats,MCG,102 - 78
West Coast Eagles,Gold Coast Suns,Optus Stadium,43 - 113
Sydney Swans,Fremantle,SCG,86 - 103
North Melbourne,Port Adelaide,Blundstone Arena,65 - 135
Hawthorn,Melbourne,MCG,49 - 103
Brisbane Lions,Essendon,Gabba,87 - 45
Carlton,Western Bulldogs,Marvel Stadium,59 - 79
Adelaide Crows,St Kilda,Adelaide Oval,121 - 69
Collingwood,GWS Giants,MCG,120 - 55
Port Adelaide,Melbourne,Adelaide Oval,80 - 76
North Melbourne,Sydney Swans,Marvel Stadium,90 - 93
