Western Bulldogs,Adelaide Crows,Mars Stadium,85 - 40
Fremantle,Geelong Cats,Optus Stadium,106 - 77
Brisbane Lions,Gold Coast Suns,Gabba,107 - 64
Essendon,Richmond,MCG,71 - 70
Hawthorn,West Coast Eagles,University of Tasmania Stadium,142 - 26
Carlton,Collingwood,MCG,57 - 85
GWS Giants,St Kilda,GIANTS Stadium,80 - 92
Sydney Swans,Carlton,SCG,77 - 51
St Kilda,Hawthorn,Marvel Stadium,78 - 88
Melbourne,Fremantle,MCG,72 - 79
Geelong Cats,GWS Giants,GMHBA Stadium,74 - 81
Gold Coast Suns,Western Bulldogs,TIO Stadium,84 - 77
West Coast Eagles,Essendon,Optus Stadium,46 - 96
Richmond,Port Adelaide,MCG,67 - 77
Collingwood,North Melbourne,Marvel Stadium,105 - 70
Adelaide Crows,Brisbane Lions,Adelaide Oval,95 - 78
Melbourne,Carlton,MCG,61 - 44
Port Adelaide,Hawthorn,Adelaide Oval,151 - 96
West Coast Eagles,Collingwood,Optus Stadium,57 - 120
Western Bulldogs,Geelong Cats,Marvel Stadium,75 - 97
Gold Coast Suns,Adelaide Crows,TIO Stadium,112 - 87
GWS Giants,Richmond,GIANTS Stadium,104 - 110
Essendon,North Melbourne,Marvel Stadium,105 - 99
Sydney Swans,St Kilda,SCG,66 - 80
Western Bulldogs,Port Adelaide,Marvel Stadium,85 - 107
Hawthorn,Brisbane Lions,MCG,98 - 73
Adelaide Crows,West Coast Eagles,Adelaide Oval,174 - 52
Fremantle,Richmond,Optus Stadium,70 - 85
North Melbourne,GWS Giants,Blundstone Arena,75 - 103
Carlton,Essendon,MCG,52 - 86
Melbourne,Collingwood,MCG,66 - 62
Port Adelaide,Geelong Cats,Adelaide Oval,110 - 72
Brisbane Lions,Sydney Swans,Gabba,97 - 81
GWS Giants,Fremantle,GIANTS Stadium,106 - 36
Richmond,St Kilda,MCG,90 - 70
Carlton,Gold Coast Suns,MCG,120 - 61
North Melbourne,Western Bulldogs,Marvel Stadium,84 - 105
Geelong Cats,Melbourne,GMHBA Stadium,78 - 63
St Kilda,Brisbane Lions,Marvel Stadium,56 - 84
Sydney Swans,West Coast Eagles,SCG,205 - 34
Fremantle,Essendon,Optus Stadium,93 - 61
Collingwood,Adelaide Crows,MCG,82 - 80
Gold Coast Suns,Hawthorn,Heritage Bank Stadium,101 - 34
Brisbane Lions,Richmond,Gabba,134 - 53
Sydney Swans,Geelong Cats,SCG,54 - 54
Western Bulldogs,Fremantle,Marvel Stadium,102 - 73
Adelaide Crows,North Melbourne,Adelaide Oval,138 - 72
Gold Coast Suns,Collingwood,Heritage Bank Stadium,42 - 120
Essendon,Port Adelaide,MCG,74 - 78
Hawthorn,Carlton,MCG,52 - 112
Melbourne,GWS Giants,TIO Traeger Park,45 - 47
West Coast Eagles,St Kilda,Optus Stadium,77 - 85
Richmond,Sydney Swans,MCG,88 - 75
Western Bulldogs,Collingwood,Marvel Stadium,77 - 89
Brisbane Lions,West Coast Eagles,Gabba,116 - 35
GWS Giants,Hawthorn,GIANTS Stadium,85 - 72
St Kilda,Melbourne,Marvel Stadium,58 - 79
Port Adelaide,Gold Coast Suns,Adelaide Oval,106 - 73
Geelong Cats,North Melbourne,GMHBA Stadium,125 - 63
Essendon,Adelaide Crows,Marvel Stadium,115 - 97
Fremantle,Carlton,Optus Stadium,45 - 98
Sydney Swans,Western Bulldogs,SCG,78 - 76
Melbourne,Brisbane Lions,MCG,105 - 104
Collingwood,Fremantle,MCG,113 - 67
Gold Coast Suns,St Kilda,Heritage Bank Stadium,77 - 51
Carlton,Port Adelaide,Marvel Stadium,122 - 72
Geelong Cats,Essendon,GMHBA Stadium,122 - 45
Adelaide Crows,GWS Giants,Adelaide Oval,57 - 71
North Melbourne,Hawthorn,Marvel Stadium,40 - 88
West Coast Eagles,Richmond,Optus Stadium,60 - 98
Essendon,Western Bulldogs,Marvel Stadium,49 - 90
Richmond,Hawthorn,MCG,96 - 95
Carlton,West Coast Eagles,Marvel Stadium,140 - 69
Brisbane Lions,Geelong Cats,Gabba,64 - 53
Port Adelaide,Collingwood,Adelaide Oval,83 - 85
Fremantle,Sydney Swans,Optus Stadium,76 - 105
GWS Giants,Gold Coast Suns,Manuka Oval,103 - 63
Melbourne,Adelaide Crows,MCG,97 - 93
St Kilda,North Melbourne,Marvel Stadium,69 - 61
Collingwood,Carlton,MCG,76 - 93
Geelong Cats,Fremantle,GMHBA Stadium,64 - 71
Western Bulldogs,GWS Giants,Mars Stadium,73 - 78
Gold Coast Suns,Brisbane Lions,Heritage Bank Stadium,96 - 55
Essendon,Sydney Swans,Marvel Stadium,99 - 101
Adelaide Crows,Port Adelaide,Adelaide Oval,112 - 65
Hawthorn,St Kilda,Marvel Stadium,93 - 122
Richmond,Melbourne,MCG,98 - 130
West Coast Eagles,North Melbourne,Optus Stadium,72 - 67
Western Bulldogs,Richmond,Marvel Stadium,126 - 71
Essendon,West Coast Eagles,Marvel Stadium,73 - 72
Adelaide Crows,Gold Coast Suns,Adelaide Oval,89 - 61
Hawthorn,Collingwood,MCG,105 - 73
Geelong Cats,Port Adelaide,GMHBA Stadium,97 - 85
GWS Giants,Sydney Swans,GIANTS Stadium,85 - 96
North Melbourne,Melbourne,Blundstone Arena,71 - 103
St Kilda,Carlton,Marvel Stadium,54 - 73
Fremantle,Brisbane Lions,Optus Stadium,74 - 77
Collingwood,Geelong Cats,MCG,109 - 101
North Melbourne,Essendon,Marvel Stadium,77 - 86
Sydney Swans,Gold Coast Suns,SCG,114 - 90
Brisbane Lions,Adelaide Crows,Gabba,99 - 93
Carlton,Melbourne,MCG,60 - 56
West Coast Eagles,Fremantle,Optus Stadium,33 - 134
Hawthorn,Western Bulldogs,University of Tasmania Stadium,67 - 64
St Kilda,Richmond,Marvel Stadium,93 - 57
Port Adelaide,GWS Giants,Adelaide Oval,136 - 85
Collingwood,Brisbane Lions,Marvel Stadium,100 - 124
Richmond,North Melbourne,MCG,101 - 72
Gold Coast Suns,Carlton,Heritage Bank Stadium,87 - 91
GWS Giants,Essendon,GIANTS Stadium,162 - 36
St Kilda,Geelong Cats,Marvel Stadium,88 - 55
Adelaide Crows,Sydney Swans,Adelaide Oval,73 - 74
Western Bulldogs,West Coast Eagles,Marvel Stadium,85 - 92
Melbourne,Hawthorn,MCG,87 - 60
Fremantle,Port Adelaide,Optus Stadium,58 - 74
Essendon,Collingwood,MCG,31 - 101
Hawthorn,Fremantle,MCG,56 - 93
North Melbourne,Gold Coast Suns,Blundstone Arena,132 - 97
Brisbane Lions,St Kilda,Gabba,72 - 60
Geelong Cats,Western Bulldogs,GMHBA Stadium,79 - 104
West Coast Eagles,Adelaide Crows,Optus Stadium,78 - 123
Port Adelaide,Richmond,Adelaide Oval,94 - 63
Sydney Swans,Melbourne,SCG,56 - 77
Carlton,GWS Giants,Marvel Stadium,73 - 105
Collingwood,Melbourne,MCG,60 - 53
Carlton,Sydney Swans,MCG,74 - 68
St Kilda,GWS Giants,MCG,77 - 101
Brisbane Lions,Port Adelaide,Gabba,123 - 75
Melbourne,Carlton,MCG,71 - 73
Port Adelaide,GWS Giants,Adelaide Oval,70 - 93
Collingwood,GWS Giants,MCG,58 - 57
Brisbane Lions,Carlton,Gabba,79 - 63
Collingwood,Brisbane Lions,MCG,90 - 86
