Hawthorn,Adelaide Crows,MCG,107 - 80
West Coast Eagles,St Kilda,Optus Stadium,68 - 82
Geelong Cats,Richmond,GMHBA Stadium,99 - 69
Melbourne,Fremantle,TIO Traeger Park,49 - 141
Gold Coast Suns,Essendon,People First Stadium,91 - 80
Adelaide Crows,Richmond,Adelaide Oval,71 - 79
Western Bulldogs,Brisbane Lions,Marvel Stadium,71 - 114
Hawthorn,GWS Giants,UTAS Stadium,85 - 79
West Coast Eagles,North Melbourne,Optus Stadium,65 - 74
St Kilda,Gold Coast Suns,Marvel Stadium,51 - 48
Sydney Swans,Geelong Cats,SCG,112 - 82
Essendon,Carlton,MCG,70 - 96
Collingwood,Melbourne,MCG,89 - 51
Brisbane Lions,St Kilda,Gabba,126 - 106
Western Bulldogs,Fremantle,Marvel Stadium,149 - 82
Richmond,Hawthorn,MCG,49 - 97
Adelaide Crows,Sydney Swans,Adelaide Oval,67 - 109
North Melbourne,Collingwood,Marvel Stadium,118 - 119
GWS Giants,Port Adelaide,ENGIE Stadium,73 - 51
Carlton,Geelong Cats,MCG,138 - 75
Port Adelaide,Brisbane Lions,Adelaide Oval,73 - 152
GWS Giants,Sydney Swans,ENGIE Stadium,75 - 102
Melbourne,North Melbourne,MCG,70 - 67
Essendon,West Coast Eagles,Marvel Stadium,122 - 92
Fremantle,Gold Coast Suns,Optus Stadium,85 - 65
Brisbane Lions,Melbourne,Gabba,86 - 81
North Melbourne,Western Bulldogs,Marvel Stadium,60 - 77
Sydney Swans,Fremantle,SCG,98 - 99
Gold Coast Suns,Collingwood,People First Stadium,101 - 90
Geelong Cats,Essendon,MCG,105 - 60
Adelaide Crows,GWS Giants,Adelaide Oval,94 - 78
St Kilda,Port Adelaide,Marvel Stadium,60 - 62
Richmond,Carlton,MCG,70 - 131
West Coast Eagles,Hawthorn,Optus Stadium,33 - 94
Collingwood,Essendon,MCG,80 - 92
North Melbourne,Gold Coast Suns,Marvel Stadium,87 - 83
Port Adelaide,Western Bulldogs,Adelaide Oval,102 - 54
Geelong Cats,Hawthorn,GMHBA Stadium,110 - 59
GWS Giants,Carlton,ENGIE Stadium,116 - 104
Fremantle,Richmond,Optus Stadium,105 - 54
Melbourne,West Coast Eagles,MCG,112 - 58
St Kilda,Sydney Swans,Marvel Stadium,84 - 82
Brisbane Lions,Adelaide Crows,Gabba,97 - 86
Collingwood,Geelong Cats,MCG,71 - 91
Hawthorn,Fremantle,UTAS Stadium,87 - 74
Sydney Swans,North Melbourne,SCG,138 - 59
Western Bulldogs,Carlton,Marvel Stadium,100 - 86
Melbourne,Essendon,MCG,84 - 67
Adelaide Crows,St Kilda,Adelaide Oval,71 - 39
Gold Coast Suns,Port Adelaide,People First Stadium,96 - 82
Richmond,GWS Giants,MCG,84 - 108
West Coast Eagles,Brisbane Lions,Optus Stadium,93 - 106
Essendon,Adelaide Crows,Marvel Stadium,113 - 115
GWS Giants,Gold Coast Suns,ENGIE Stadium,89 - 50
St Kilda,West Coast Eagles,Marvel Stadium,113 - 41
Hawthorn,Collingwood,MCG,133 - 67
Geelong Cats,Western Bulldogs,GMHBA Stadium,48 - 95
Port Adelaide,Richmond,Adelaide Oval,116 - 75
Brisbane Lions,Sydney Swans,Gabba,79 - 77
Fremantle,Melbourne,Optus Stadium,116 - 66
Carlton,North Melbourne,Marvel Stadium,107 - 88
Carlton,Port Adelaide,Marvel Stadium,65 - 79
North Melbourne,Geelong Cats,Blundstone Arena,66 - 106
Gold Coast Suns,Brisbane Lions,People First Stadium,65 - 93
St Kilda,Essendon,Marvel Stadium,108 - 55
Melbourne,GWS Giants,MCG,83 - 85
Fremantle,West Coast Eagles,Optus Stadium,110 - 75
Collingwood,Richmond,MCG,93 - 67
Sydney Swans,Western Bulldogs,SCG,48 - 87
Adelaide Crows,Hawthorn,Adelaide Oval,58 - 124
Western Bulldogs,Melbourne,Marvel Stadium,110 - 59
West Coast Eagles,Gold Coast Suns,Optus Stadium,97 - 87
North Melbourne,Richmond,Marvel Stadium,90 - 77
Geelong Cats,Adelaide Crows,GMHBA Stadium,90 - 85
Collingwood,Carlton,MCG,84 - 81
Port Adelaide,Sydney Swans,Adelaide Oval,148 - 36
GWS Giants,Hawthorn,Manuka Oval,84 - 82
Essendon,Fremantle,MCG,90 - 89
St Kilda,Brisbane Lions,Marvel Stadium,39 - 124
Sydney Swans,Collingwood,SCG,89 - 86
Brisbane Lions,GWS Giants,Gabba,64 - 82
North Melbourne,West Coast Eagles,Blundstone Arena,97 - 102
Fremantle,Geelong Cats,Optus Stadium,62 - 73
Essendon,Gold Coast Suns,Marvel Stadium,86 - 87
Melbourne,Port Adelaide,MCG,51 - 53
Carlton,Hawthorn,MCG,38 - 112
Richmond,St Kilda,Marvel Stadium,51 - 99
Adelaide Crows,Western Bulldogs,Adelaide Oval,111 - 72
Essendon,Sydney Swans,Marvel Stadium,59 - 98
Gold Coast Suns,Melbourne,People First Stadium,63 - 117
GWS Giants,Fremantle,ENGIE Stadium,101 - 92
Collingwood,Brisbane Lions,MCG,79 - 78
St Kilda,Geelong Cats,Marvel Stadium,107 - 89
Port Adelaide,Adelaide Crows,Adelaide Oval,80 - 58
Western Bulldogs,North Melbourne,Marvel Stadium,138 - 42
Hawthorn,Richmond,MCG,131 - 68
West Coast Eagles,Carlton,Optus Stadium,34 - 99
Melbourne,Collingwood,MCG,57 - 103
Hawthorn,North Melbourne,UTAS Stadium,170 - 46
Geelong Cats,West Coast Eagles,GMHBA Stadium,168 - 75
Richmond,Gold Coast Suns,MCG,66 - 94
Brisbane Lions,Essendon,Gabba,87 - 67
Sydney Swans,Adelaide Crows,SCG,121 - 90
Western Bulldogs,GWS Giants,Mars Stadium,98 - 61
Carlton,St Kilda,Marvel Stadium,74 - 76
Fremantle,Port Adelaide,Optus Stadium,67 - 87
Port Adelaide,Geelong Cats,Adelaide Oval,54 - 138
Western Bulldogs,Hawthorn,MCG,62 - 99
Sydney Swans,GWS Giants,SCG,88 - 82
Brisbane Lions,Carlton,Gabba,99 - 71
Port Adelaide,Hawthorn,Adelaide Oval,75 - 72
GWS Giants,Brisbane Lions,ENGIE Stadium,100 - 105
Sydney Swans,Port Adelaide,SCG,95 - 59
Geelong Cats,Brisbane Lions,MCG,85 - 95
Sydney Swans,Brisbane Lions,MCG,60 - 120
