Accor Stadium
Adelaide Hills
Adelaide Oval
Barossa Park
Cazalys Stadium
ENGIE Stadium,GIANTS Stadium
Gabba
GMHBA Stadium
Hands Oval
Manuka Oval
Mars Stadium
Marvel Stadium
MCG
Ninja Stadium,Blundstone Arena
Norwood Oval
Optus Stadium
People First Stadium,Heritage Bank Stadium,Metricon Stadium
SCG
TIO Stadium
TIO Traeger Park
UTAS Stadium,University of Tasmania Stadium
